year;city;country;avg_temp;b_m_avg_temp;;year;avg_temp;g_m_avg_temp
1743;Barcelona;Spain;13,81;;;;;
1744;Barcelona;Spain;16,98;;;;;
1745;Barcelona;Spain;10,78;;;;;
1746;Barcelona;Spain;;;;;;
1747;Barcelona;Spain;;;;;;
1748;Barcelona;Spain;;;;;;
1749;Barcelona;Spain;;;;;;
1750;Barcelona;Spain;16,52;16,52;;1750;8,72;8,72
1751;Barcelona;Spain;16,78;16,78;;1751;7,98;8,35
1752;Barcelona;Spain;13,09;15,46333333;;1752;5,78;7,493333333
1753;Barcelona;Spain;16,17;15,34666667;;1753;8,39;7,383333333
1754;Barcelona;Spain;16,09;15,11666667;;1754;8,47;7,546666667
1755;Barcelona;Spain;15,8;16,02;;1755;8,36;8,406666667
1756;Barcelona;Spain;16,11;16;;1756;8,85;8,56
1757;Barcelona;Spain;15,88;15,93;;1757;9,02;8,743333333
1758;Barcelona;Spain;15,04;15,67666667;;1758;6,74;8,203333333
1759;Barcelona;Spain;16,19;15,70333333;;1759;7,99;7,916666667
1760;Barcelona;Spain;15,91;15,71333333;;1760;7,19;7,306666667
1761;Barcelona;Spain;16,25;16,11666667;;1761;8,77;7,983333333
1762;Barcelona;Spain;16,13;16,09666667;;1762;8,61;8,19
1763;Barcelona;Spain;15,65;16,01;;1763;7,5;8,293333333
1764;Barcelona;Spain;16,21;15,99666667;;1764;8,4;8,17
1765;Barcelona;Spain;16,19;16,01666667;;1765;8,25;8,05
1766;Barcelona;Spain;16,06;16,15333333;;1766;8,41;8,353333333
1767;Barcelona;Spain;15,97;16,07333333;;1767;8,22;8,293333333
1768;Barcelona;Spain;15,49;15,84;;1768;6,78;7,803333333
1769;Barcelona;Spain;15,94;15,8;;1769;7,69;7,563333333
1770;Barcelona;Spain;15,8;15,74333333;;1770;7,69;7,386666667
1771;Barcelona;Spain;16,3;16,01333333;;1771;7,85;7,743333333
1772;Barcelona;Spain;17,21;16,43666667;;1772;8,19;7,91
1773;Barcelona;Spain;15,84;16,45;;1773;8,22;8,086666667
1774;Barcelona;Spain;16,33;16,46;;1774;8,77;8,393333333
1775;Barcelona;Spain;16,55;16,24;;1775;9,18;8,723333333
1776;Barcelona;Spain;16,1;16,32666667;;1776;8,3;8,75
1777;Barcelona;Spain;15,87;16,17333333;;1777;8,26;8,58
1778;Barcelona;Spain;16,38;16,11666667;;1778;8,54;8,366666667
1779;Barcelona;Spain;16,55;16,26666667;;1779;8,98;8,593333333
1780;Barcelona;Spain;16,78;16,57;;1780;9,43;8,983333333
1781;Barcelona;Spain;16,65;16,66;;1781;8,1;8,836666667
1782;Barcelona;Spain;15,55;16,32666667;;1782;7,9;8,476666667
1783;Barcelona;Spain;16,26;16,15333333;;1783;7,68;7,893333333
1784;Barcelona;Spain;15,83;15,88;;1784;7,86;7,813333333
1785;Barcelona;Spain;15,68;15,92333333;;1785;7,36;7,633333333
1786;Barcelona;Spain;16,03;15,84666667;;1786;8,26;7,826666667
1787;Barcelona;Spain;16,25;15,98666667;;1787;8,03;7,883333333
1788;Barcelona;Spain;16,67;16,31666667;;1788;8,45;8,246666667
1789;Barcelona;Spain;15,46;16,12666667;;1789;8,33;8,27
1790;Barcelona;Spain;16,36;16,16333333;;1790;7,98;8,253333333
1791;Barcelona;Spain;16,41;16,07666667;;1791;8,23;8,18
1792;Barcelona;Spain;16,22;16,33;;1792;8,09;8,1
1793;Barcelona;Spain;16,15;16,26;;1793;8,23;8,183333333
1794;Barcelona;Spain;16,28;16,21666667;;1794;8,53;8,283333333
1795;Barcelona;Spain;16,1;16,17666667;;1795;8,35;8,37
1796;Barcelona;Spain;16,07;16,15;;1796;8,27;8,383333333
1797;Barcelona;Spain;16,02;16,06333333;;1797;8,51;8,376666667
1798;Barcelona;Spain;16,19;16,09333333;;1798;8,67;8,483333333
1799;Barcelona;Spain;15,63;15,94666667;;1799;8,51;8,563333333
1800;Barcelona;Spain;16,63;16,15;;1800;8,48;8,553333333
1801;Barcelona;Spain;16,49;16,25;;1801;8,59;8,526666667
1802;Barcelona;Spain;16,72;16,61333333;;1802;8,58;8,55
1803;Barcelona;Spain;16,26;16,49;;1803;8,5;8,556666667
1804;Barcelona;Spain;16,71;16,56333333;;1804;8,84;8,64
1805;Barcelona;Spain;15,44;16,13666667;;1805;8,56;8,633333333
1806;Barcelona;Spain;16,4;16,18333333;;1806;8,43;8,61
1807;Barcelona;Spain;16,01;15,95;;1807;8,28;8,423333333
1808;Barcelona;Spain;14,96;15,79;;1808;7,63;8,113333333
1809;Barcelona;Spain;15,41;15,46;;1809;7,08;7,663333333
1810;Barcelona;Spain;15,4;15,25666667;;1810;6,92;7,21
1811;Barcelona;Spain;16,02;15,61;;1811;6,86;6,953333333
1812;Barcelona;Spain;15;15,47333333;;1812;7,05;6,943333333
1813;Barcelona;Spain;15,39;15,47;;1813;7,74;7,216666667
1814;Barcelona;Spain;14,86;15,08333333;;1814;7,59;7,46
1815;Barcelona;Spain;15,64;15,29666667;;1815;7,24;7,523333333
1816;Barcelona;Spain;14,81;15,10333333;;1816;6,94;7,256666667
1817;Barcelona;Spain;15,96;15,47;;1817;6,98;7,053333333
1818;Barcelona;Spain;16,29;15,68666667;;1818;7,83;7,25
1819;Barcelona;Spain;15,89;16,04666667;;1819;7,37;7,393333333
1820;Barcelona;Spain;15,73;15,97;;1820;7,62;7,606666667
1821;Barcelona;Spain;16,17;15,93;;1821;8,09;7,693333333
1822;Barcelona;Spain;16,7;16,2;;1822;8,19;7,966666667
1823;Barcelona;Spain;15,71;16,19333333;;1823;7,72;8
1824;Barcelona;Spain;16,05;16,15333333;;1824;8,55;8,153333333
1825;Barcelona;Spain;16,33;16,03;;1825;8,39;8,22
1826;Barcelona;Spain;15,95;16,11;;1826;8,36;8,433333333
1827;Barcelona;Spain;15,86;16,04666667;;1827;8,81;8,52
1828;Barcelona;Spain;16,53;16,11333333;;1828;8,17;8,446666667
1829;Barcelona;Spain;15,3;15,89666667;;1829;7,94;8,306666667
1830;Barcelona;Spain;15,97;15,93333333;;1830;8,52;8,21
1831;Barcelona;Spain;16,23;15,83333333;;1831;7,64;8,033333333
1832;Barcelona;Spain;15,92;16,04;;1832;7,45;7,87
1833;Barcelona;Spain;15,83;15,99333333;;1833;8,01;7,7
1834;Barcelona;Spain;16,68;16,14333333;;1834;8,15;7,87
1835;Barcelona;Spain;15,43;15,98;;1835;7,39;7,85
1836;Barcelona;Spain;15,5;15,87;;1836;7,7;7,746666667
1837;Barcelona;Spain;15,45;15,46;;1837;7,38;7,49
